"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"JINDALSTEL","EQ","04-Feb-2025","807.70","813.50","827.10","799.00","800.00","801.60","807.31","27,71,274","2,23,72,71,380.40","77,577","12,56,625","45.34"
"JINDALSTEL","EQ","05-Feb-2025","801.60","810.20","824.00","804.20","815.90","818.85","817.37","18,95,088","1,54,89,91,616.00","57,772","9,08,736","47.95"
"JINDALSTEL","EQ","06-Feb-2025","818.85","822.40","826.10","806.20","809.50","809.35","813.47","10,73,064","87,29,09,625.20","32,205","3,36,724","31.38"
"JINDALSTEL","EQ","07-Feb-2025","809.35","809.95","848.70","809.95","842.80","844.55","836.12","69,93,440","5,84,73,87,886.50","1,23,708","25,05,217","35.82"
"JINDALSTEL","EQ","10-Feb-2025","844.55","841.00","843.15","818.30","841.65","840.60","830.85","17,44,941","1,44,97,92,809.55","64,220","5,46,858","31.34"
"JINDALSTEL","EQ","11-Feb-2025","840.60","835.00","851.00","827.65","830.60","834.50","836.53","28,51,850","2,38,56,58,776.85","73,325","13,29,171","46.61"
"JINDALSTEL","EQ","12-Feb-2025","834.50","825.00","835.00","801.35","829.00","829.35","822.73","46,96,962","3,86,43,10,062.10","1,27,315","21,12,146","44.97"
"JINDALSTEL","EQ","13-Feb-2025","829.35","825.10","854.00","825.10","840.20","840.50","844.27","15,84,072","1,33,73,89,175.25","51,897","5,57,739","35.21"
"JINDALSTEL","EQ","14-Feb-2025","840.50","844.00","858.00","814.45","835.00","833.30","831.16","31,27,767","2,59,96,89,614.70","88,735","15,51,419","49.60"
"JINDALSTEL","EQ","17-Feb-2025","833.30","825.00","841.95","813.35","840.00","837.65","833.30","30,00,527","2,50,03,41,273.85","62,272","16,81,778","56.05"
"JINDALSTEL","EQ","18-Feb-2025","837.65","835.10","849.60","825.30","844.90","846.95","839.59","12,53,438","1,05,23,70,306.45","40,807","4,37,265","34.89"
"JINDALSTEL","EQ","19-Feb-2025","846.95","840.00","862.00","838.05","860.00","860.10","856.85","13,78,738","1,18,13,77,660.35","48,484","6,65,161","48.24"
"JINDALSTEL","EQ","20-Feb-2025","860.10","852.10","882.50","852.10","879.15","879.30","873.15","12,83,212","1,12,04,41,663.05","52,650","4,96,637","38.70"
"JINDALSTEL","EQ","21-Feb-2025","879.30","872.80","887.10","863.25","876.55","880.35","875.26","41,52,422","3,63,44,33,846.90","73,211","24,48,726","58.97"
"JINDALSTEL","EQ","24-Feb-2025","880.35","868.10","887.40","855.10","859.85","862.25","870.21","16,86,346","1,46,74,81,714.55","60,394","5,11,049","30.31"
"JINDALSTEL","EQ","25-Feb-2025","862.25","855.15","872.35","854.00","854.00","856.80","864.72","16,48,058","1,42,51,02,598.00","54,460","5,34,650","32.44"
"JINDALSTEL","EQ","27-Feb-2025","856.80","853.00","872.55","847.45","865.20","862.00","857.49","19,67,080","1,68,67,49,186.05","52,687","10,08,755","51.28"
"JINDALSTEL","EQ","28-Feb-2025","862.00","850.00","866.20","842.40","850.80","856.15","855.27","77,14,704","6,59,81,58,973.20","1,11,722","49,56,014","64.24"
"JINDALSTEL","EQ","03-Mar-2025","856.15","852.00","876.55","846.25","854.00","854.35","857.31","28,28,636","2,42,50,13,285.25","61,084","15,03,827","53.16"
"JINDALSTEL","EQ","04-Mar-2025","854.35","854.00","872.00","842.55","868.50","867.30","863.23","12,66,558","1,09,33,25,458.75","36,118","4,00,204","31.60"
"JINDALSTEL","EQ","05-Mar-2025","867.30","861.00","896.00","861.00","894.00","891.65","884.38","23,71,535","2,09,73,41,910.95","56,848","11,41,666","48.14"
"JINDALSTEL","EQ","06-Mar-2025","891.65","902.00","920.00","894.05","911.25","914.60","909.49","31,01,315","2,82,06,21,450.95","1,05,690","14,70,704","47.42"
"JINDALSTEL","EQ","07-Mar-2025","914.60","912.00","925.05","905.25","908.40","908.95","915.58","20,83,657","1,90,77,53,009.50","74,155","9,27,874","44.53"
"JINDALSTEL","EQ","10-Mar-2025","908.95","909.00","933.80","900.60","903.25","905.30","918.41","30,73,227","2,82,24,68,049.00","1,07,447","13,47,955","43.86"
"JINDALSTEL","EQ","11-Mar-2025","905.30","892.50","909.50","892.50","907.10","904.85","902.25","27,86,479","2,51,40,94,450.95","71,313","17,98,122","64.53"
"JINDALSTEL","EQ","12-Mar-2025","904.85","908.45","915.45","881.55","901.05","903.05","897.80","13,25,797","1,19,02,96,625.70","41,755","5,14,124","38.78"
"JINDALSTEL","EQ","13-Mar-2025","903.05","905.75","909.30","885.70","886.35","889.70","899.12","10,09,777","90,79,06,461.45","34,327","3,49,370","34.60"
"JINDALSTEL","EQ","17-Mar-2025","889.70","892.00","905.75","889.70","897.95","897.25","898.18","11,63,494","1,04,50,24,955.10","30,500","5,52,338","47.47"
"JINDALSTEL","EQ","18-Mar-2025","897.25","905.80","927.00","898.20","923.50","923.50","918.92","13,63,602","1,25,30,43,125.75","42,470","5,94,126","43.57"
"JINDALSTEL","EQ","19-Mar-2025","923.50","937.05","943.75","920.30","924.00","925.00","928.66","24,02,675","2,23,12,64,997.65","56,302","8,81,016","36.67"
"JINDALSTEL","EQ","20-Mar-2025","925.00","931.80","931.80","915.10","923.30","926.20","923.13","13,11,300","1,21,04,94,488.30","41,927","5,66,629","43.21"
"JINDALSTEL","EQ","21-Mar-2025","926.20","926.20","928.85","911.75","917.10","914.30","917.15","23,50,523","2,15,57,84,766.90","44,984","15,90,211","67.65"
"JINDALSTEL","EQ","24-Mar-2025","914.30","921.00","929.00","916.00","920.00","922.75","924.18","9,85,738","91,09,99,594.35","30,003","4,54,892","46.15"
"JINDALSTEL","EQ","25-Mar-2025","922.75","925.50","925.50","903.90","905.80","908.80","913.75","15,53,849","1,41,98,35,054.00","43,962","3,69,123","23.76"
"JINDALSTEL","EQ","26-Mar-2025","908.80","909.50","916.35","896.05","898.00","899.85","906.84","15,07,434","1,36,69,96,878.85","56,269","7,51,583","49.86"
"JINDALSTEL","EQ","27-Mar-2025","899.85","898.00","919.00","893.20","913.10","916.05","905.94","12,46,440","1,12,91,94,553.25","61,464","5,59,351","44.88"
"JINDALSTEL","EQ","28-Mar-2025","916.05","925.45","925.45","905.30","910.00","912.30","915.98","15,50,743","1,42,04,57,050.20","52,696","6,77,170","43.67"
"JINDALSTEL","EQ","01-Apr-2025","912.30","907.00","914.60","893.30","903.00","901.50","903.13","16,97,338","1,53,29,24,992.50","54,648","10,21,446","60.18"
"JINDALSTEL","EQ","02-Apr-2025","901.50","903.00","911.70","896.50","907.65","909.55","905.22","17,61,044","1,59,41,24,492.45","35,683","10,87,180","61.73"
"JINDALSTEL","EQ","03-Apr-2025","909.55","900.00","916.00","898.30","904.00","905.20","904.72","19,49,930","1,76,41,36,013.20","47,072","11,52,957","59.13"
