"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ITC","EQ","30-May-2025","418.75","419.10","420.05","416.40","418.75","418.05","417.87","3,06,56,239","12,81,01,87,425.40","1,59,932","2,17,72,343","71.02"
"ITC","EQ","02-Jun-2025","418.05","418.30","420.45","414.55","418.50","419.30","418.16","1,49,73,380","6,26,12,14,003.60","1,65,410","90,23,989","60.27"
"ITC","EQ","03-Jun-2025","419.30","419.00","421.70","415.65","417.00","416.95","418.03","1,32,16,486","5,52,49,19,470.20","1,40,901","72,16,414","54.60"
"ITC","EQ","04-Jun-2025","416.95","417.15","419.00","415.95","416.80","417.00","417.14","1,25,98,933","5,25,55,34,433.40","1,16,476","81,89,047","65.00"
"ITC","EQ","05-Jun-2025","417.00","418.50","420.95","415.75","419.45","419.10","418.56","1,32,12,523","5,53,02,48,629.80","1,25,958","70,71,012","53.52"
"ITC","EQ","06-Jun-2025","419.10","420.30","421.30","419.00","421.05","421.05","420.36","87,74,988","3,68,86,50,527.20","1,35,147","58,98,430","67.22"
"ITC","EQ","09-Jun-2025","421.05","422.00","423.60","420.50","423.00","423.05","422.61","1,04,73,123","4,42,60,07,949.65","1,52,980","76,58,622","73.13"
"ITC","EQ","10-Jun-2025","423.05","424.50","428.55","423.05","427.65","427.00","426.58","1,30,41,075","5,56,30,34,401.50","1,70,097","90,43,141","69.34"
"ITC","EQ","11-Jun-2025","427.00","428.00","428.10","424.85","425.55","426.15","426.47","2,07,89,182","8,86,60,64,896.50","1,48,079","1,69,68,873","81.62"
"ITC","EQ","12-Jun-2025","426.15","427.00","427.20","419.55","420.95","421.00","421.78","1,85,08,835","7,80,66,98,998.50","2,50,912","1,04,88,398","56.67"
"ITC","EQ","13-Jun-2025","421.00","415.00","419.35","413.50","413.95","413.90","416.29","1,78,73,926","7,44,07,50,348.70","1,63,341","1,33,75,911","74.83"
"ITC","EQ","16-Jun-2025","413.90","414.95","418.90","413.25","418.65","418.20","417.32","70,06,629","2,92,40,40,280.95","1,01,302","43,49,629","62.08"
"ITC","EQ","17-Jun-2025","418.20","418.10","419.05","415.70","417.05","417.40","417.33","90,28,406","3,76,77,81,671.25","1,15,094","59,75,840","66.19"
"ITC","EQ","18-Jun-2025","417.40","417.00","418.45","414.90","415.60","415.90","416.11","80,36,215","3,34,39,60,493.95","1,26,035","55,67,601","69.28"
"ITC","EQ","19-Jun-2025","415.90","415.65","418.25","414.80","415.80","416.00","416.72","1,26,01,006","5,25,11,07,254.85","91,846","83,57,802","66.33"
"ITC","EQ","20-Jun-2025","416.00","416.00","419.50","416.00","417.25","418.55","418.46","1,32,03,184","5,52,49,85,516.30","1,10,675","99,18,802","75.12"
"ITC","EQ","23-Jun-2025","418.55","417.00","417.50","411.75","413.40","413.90","415.00","1,48,39,890","6,15,85,08,971.45","1,71,311","1,01,01,657","68.07"
"ITC","EQ","24-Jun-2025","413.90","416.90","420.65","413.75","414.55","414.35","416.39","1,66,90,068","6,94,95,18,762.75","2,01,406","1,01,67,805","60.92"
"ITC","EQ","25-Jun-2025","414.35","416.40","418.15","415.10","416.10","416.35","416.89","99,46,718","4,14,67,14,301.45","1,50,780","70,12,871","70.50"
"ITC","EQ","26-Jun-2025","416.35","417.20","420.90","416.25","420.00","420.30","418.46","1,37,03,918","5,73,45,31,592.15","2,48,476","87,76,093","64.04"
"ITC","EQ","27-Jun-2025","420.30","421.00","422.00","417.80","420.00","418.65","419.38","2,14,09,935","8,97,88,30,736.00","1,38,937","1,67,14,118","78.07"
"ITC","EQ","30-Jun-2025","418.65","419.80","420.75","415.80","416.30","416.45","417.37","1,23,17,124","5,14,07,85,633.05","1,45,533","92,40,659","75.02"
"ITC","EQ","01-Jul-2025","416.45","417.00","418.85","414.90","415.10","415.10","416.37","1,36,70,465","5,69,19,10,423.45","1,35,207","1,02,29,290","74.83"
"ITC","EQ","02-Jul-2025","415.10","416.90","416.90","411.70","413.20","412.95","413.58","1,59,90,899","6,61,34,37,048.00","1,48,675","1,16,78,799","73.03"
"ITC","EQ","03-Jul-2025","412.95","414.00","416.00","411.25","413.90","413.35","413.57","1,41,85,298","5,86,66,30,211.25","1,42,804","79,90,645","56.33"
"ITC","EQ","04-Jul-2025","413.35","414.90","415.00","411.75","412.70","412.55","412.80","82,56,733","3,40,83,42,585.95","1,03,880","52,73,419","63.87"
"ITC","EQ","07-Jul-2025","412.55","413.00","417.20","412.00","416.50","416.15","415.88","68,45,218","2,84,68,07,822.50","1,20,392","41,58,017","60.74"
"ITC","EQ","08-Jul-2025","416.15","416.15","418.10","414.65","418.00","417.20","416.46","68,07,192","2,83,49,24,838.55","76,566","44,23,626","64.98"
"ITC","EQ","09-Jul-2025","417.20","416.20","420.30","415.45","419.10","419.45","419.08","99,30,533","4,16,16,51,352.25","1,46,808","66,94,458","67.41"
"ITC","EQ","10-Jul-2025","419.45","420.30","420.30","416.40","416.65","416.85","417.61","62,20,360","2,59,76,61,683.25","76,333","37,26,003","59.90"
"ITC","EQ","11-Jul-2025","416.85","417.00","418.05","415.50","416.65","416.80","416.92","85,78,844","3,57,67,13,516.45","96,778","59,38,413","69.22"
"ITC","EQ","14-Jul-2025","416.80","417.05","419.95","416.55","419.35","419.40","418.90","68,96,989","2,88,91,23,352.95","94,592","48,50,678","70.33"
"ITC","EQ","15-Jul-2025","419.40","420.90","422.40","419.00","422.30","422.10","421.37","85,32,755","3,59,54,25,226.20","1,12,643","55,65,660","65.23"
"ITC","EQ","16-Jul-2025","422.10","422.10","425.45","420.30","424.40","424.60","423.52","97,80,773","4,14,23,30,034.65","91,064","72,07,565","73.69"
"ITC","EQ","17-Jul-2025","424.60","425.80","425.90","423.00","423.25","423.95","424.62","72,40,795","3,07,46,22,256.70","85,266","44,23,015","61.08"
"ITC","EQ","18-Jul-2025","423.95","425.20","425.20","420.10","422.00","422.75","422.22","67,30,256","2,84,16,42,514.05","82,551","42,59,084","63.28"
"ITC","EQ","21-Jul-2025","422.75","422.00","422.75","418.40","420.30","420.10","420.55","48,22,343","2,02,80,12,485.95","85,747","27,01,240","56.02"
"ITC","EQ","22-Jul-2025","420.10","420.10","420.40","415.20","415.95","416.00","416.82","98,69,507","4,11,38,26,380.95","1,17,437","73,64,729","74.62"
"ITC","EQ","23-Jul-2025","416.00","417.10","417.90","414.00","415.00","414.95","415.04","1,21,96,187","5,06,18,66,238.40","99,775","93,63,897","76.78"
"ITC","EQ","24-Jul-2025","414.95","415.85","415.85","409.45","410.00","409.95","411.42","90,05,157","3,70,48,82,523.95","1,32,378","59,99,945","66.63"
"ITC","EQ","25-Jul-2025","409.95","410.00","410.25","407.75","409.60","409.40","409.17","58,24,089","2,38,30,43,433.05","1,00,941","38,99,862","66.96"
"ITC","EQ","28-Jul-2025","409.40","410.80","410.85","408.60","409.80","409.90","409.88","81,23,337","3,32,95,57,179.75","86,106","53,21,561","65.51"
"ITC","EQ","29-Jul-2025","409.90","410.00","411.40","408.00","408.20","408.45","409.30","68,11,772","2,78,80,74,823.55","97,448","40,09,213","58.86"
"ITC","EQ","30-Jul-2025","408.45","409.00","409.30","405.75","407.80","407.60","407.37","1,09,15,863","4,44,68,03,251.75","1,02,742","76,90,447","70.45"
"ITC","EQ","31-Jul-2025","407.60","405.95","414.00","405.55","411.70","411.95","410.46","1,93,64,174","7,94,81,30,344.70","1,45,541","1,31,66,048","67.99"
"ITC","EQ","01-Aug-2025","411.95","412.40","419.35","411.80","416.60","416.45","416.54","1,43,24,065","5,96,65,72,601.75","1,43,905","86,62,368","60.47"
