"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HEROMOTOCO","EQ","04-Feb-2025","4,286.65","4,324.00","4,350.00","4,220.00","4,240.00","4,237.10","4,251.95","5,54,233","2,35,65,71,831.15","67,727","2,89,792","52.29"
"HEROMOTOCO","EQ","05-Feb-2025","4,237.10","4,238.00","4,290.00","4,212.60","4,272.00","4,270.40","4,258.36","4,08,928","1,74,13,60,768.25","52,068","1,56,688","38.32"
"HEROMOTOCO","EQ","06-Feb-2025","4,270.40","4,289.00","4,334.65","4,216.90","4,234.00","4,230.05","4,278.23","5,76,470","2,46,62,69,210.95","83,451","1,96,489","34.08"
"HEROMOTOCO","EQ","07-Feb-2025","4,230.05","4,319.95","4,319.95","4,215.60","4,282.00","4,274.65","4,262.86","13,44,288","5,73,05,07,755.30","1,05,359","4,75,910","35.40"
"HEROMOTOCO","EQ","10-Feb-2025","4,274.65","4,306.30","4,320.95","4,170.10","4,205.00","4,196.45","4,250.12","7,79,450","3,31,27,55,676.05","82,199","4,10,841","52.71"
"HEROMOTOCO","EQ","11-Feb-2025","4,196.45","4,200.00","4,239.00","4,071.00","4,092.00","4,085.55","4,112.80","5,93,081","2,43,92,23,294.95","55,657","3,73,239","62.93"
"HEROMOTOCO","EQ","12-Feb-2025","4,085.55","4,007.00","4,066.60","3,955.05","4,022.45","4,015.75","4,008.95","6,19,474","2,48,34,37,226.70","77,180","2,22,971","35.99"
"HEROMOTOCO","EQ","13-Feb-2025","4,015.75","4,005.00","4,025.10","3,945.10","3,952.05","3,956.55","3,981.07","5,57,075","2,21,77,53,473.90","87,123","2,91,103","52.26"
"HEROMOTOCO","EQ","14-Feb-2025","3,956.55","3,960.05","3,981.10","3,850.00","3,854.95","3,862.40","3,896.93","4,75,952","1,85,47,50,326.80","61,541","2,16,154","45.42"
"HEROMOTOCO","EQ","17-Feb-2025","3,862.40","3,845.05","3,886.15","3,757.65","3,870.00","3,876.45","3,813.59","9,13,565","3,48,39,57,785.20","88,508","4,48,596","49.10"
"HEROMOTOCO","EQ","18-Feb-2025","3,876.45","3,880.00","3,891.90","3,810.00","3,845.00","3,840.50","3,837.54","4,82,022","1,84,97,76,867.65","55,544","2,86,609","59.46"
"HEROMOTOCO","EQ","19-Feb-2025","3,840.50","3,840.90","3,898.90","3,815.00","3,885.75","3,879.15","3,871.29","4,53,662","1,75,62,56,464.95","78,038","2,68,011","59.08"
"HEROMOTOCO","EQ","20-Feb-2025","3,879.15","3,864.50","3,938.00","3,855.50","3,909.95","3,909.10","3,911.02","4,38,563","1,71,52,27,102.70","56,464","2,57,804","58.78"
"HEROMOTOCO","EQ","21-Feb-2025","3,909.10","3,900.00","3,916.85","3,828.65","3,851.00","3,852.60","3,858.73","4,26,337","1,64,51,20,150.00","59,924","2,45,592","57.61"
"HEROMOTOCO","EQ","24-Feb-2025","3,852.60","3,839.85","3,891.10","3,800.10","3,884.00","3,884.85","3,857.21","2,72,543","1,05,12,54,450.10","44,751","1,07,108","39.30"
"HEROMOTOCO","EQ","25-Feb-2025","3,884.85","3,877.00","3,883.30","3,817.10","3,817.85","3,828.25","3,849.97","6,61,184","2,54,55,36,718.25","71,601","4,56,811","69.09"
"HEROMOTOCO","EQ","27-Feb-2025","3,828.25","3,808.15","3,810.30","3,725.25","3,752.90","3,759.55","3,755.42","8,77,741","3,29,62,84,414.70","94,391","5,83,860","66.52"
"HEROMOTOCO","EQ","28-Feb-2025","3,759.55","3,745.60","3,746.95","3,662.15","3,704.00","3,681.10","3,683.58","9,95,134","3,66,56,58,137.95","81,445","6,56,458","65.97"
"HEROMOTOCO","EQ","03-Mar-2025","3,681.10","3,644.05","3,715.00","3,617.00","3,630.50","3,630.75","3,643.23","6,91,809","2,52,04,18,771.95","78,133","3,66,884","53.03"
"HEROMOTOCO","EQ","04-Mar-2025","3,630.75","3,625.00","3,639.90","3,495.00","3,509.60","3,514.85","3,541.46","9,46,922","3,35,34,87,371.40","1,05,589","5,06,119","53.45"
"HEROMOTOCO","EQ","05-Mar-2025","3,514.85","3,515.00","3,609.60","3,513.50","3,593.00","3,588.75","3,581.04","6,11,959","2,19,14,47,103.30","64,718","3,78,426","61.84"
"HEROMOTOCO","EQ","06-Mar-2025","3,588.75","3,629.50","3,658.00","3,582.70","3,658.00","3,648.75","3,626.26","6,54,829","2,37,45,78,271.45","1,03,538","3,81,031","58.19"
"HEROMOTOCO","EQ","07-Mar-2025","3,648.75","3,664.00","3,733.70","3,625.00","3,653.90","3,652.50","3,684.34","6,21,576","2,29,00,98,192.65","68,816","2,11,629","34.05"
"HEROMOTOCO","EQ","10-Mar-2025","3,652.50","3,653.00","3,665.75","3,575.70","3,588.00","3,582.85","3,609.09","6,75,889","2,43,93,45,600.45","77,847","4,12,026","60.96"
